iter	Passed	Remaining
807	1361	323
808	1363	321
809	1364	320
810	1366	318
811	1367	316
812	1369	314
813	1370	313
814	1372	311
815	1373	309
816	1375	308
817	1376	306
818	1378	304
819	1379	302
820	1381	301
821	1382	299
822	1384	297
823	1385	295
824	1387	294
825	1388	292
826	1389	290
827	1391	289
828	1393	287
829	1394	285
830	1396	283
831	1397	282
832	1398	280
833	1400	278
834	1401	277
835	1403	275
836	1404	273
837	1406	271
838	1407	270
839	1408	268
840	1410	266
841	1411	264
842	1413	263
843	1414	261
844	1416	259
845	1417	258
846	1418	256
847	1420	254
848	1421	252
849	1423	251
850	1424	249
851	1426	247
852	1427	246
853	1429	244
854	1430	242
855	1432	240
856	1433	239
857	1435	237
858	1436	235
859	1438	234
860	1439	232
861	1441	230
862	1442	229
863	1444	227
864	1445	225
865	1447	223
866	1448	222
867	1450	220
868	1451	218
869	1453	217
870	1454	215
871	1456	213
872	1457	212
873	1459	210
874	1460	208
875	1462	206
876	1463	205
877	1465	203
878	1466	201
879	1468	200
880	1469	198
881	1471	196
882	1473	195
883	1474	193
884	1476	191
885	1478	190
886	1479	188
887	1481	186
888	1482	185
889	1484	183
890	1485	181
891	1486	180
892	1488	178
893	1489	176
894	1491	174
895	1492	173
896	1494	171
897	1495	169
898	1497	168
899	1498	166
900	1500	164
901	1501	163
902	1503	161
903	1505	159
904	1506	158
905	1508	156
906	1509	154
907	1511	153
908	1512	151
909	1514	149
910	1515	148
911	1516	146
912	1518	144
913	1519	142
914	1521	141
915	1522	139
916	1524	137
917	1525	136
918	1526	134
919	1528	132
920	1530	131
921	1531	129
922	1532	127
923	1534	126
924	1535	124
925	1537	122
926	1538	121
927	1540	119
928	1541	117
929	1543	116
930	1544	114
931	1546	112
932	1547	111
933	1548	109
934	1550	107
935	1551	106
936	1553	104
937	1554	102
938	1556	101
939	1557	99
940	1559	97
941	1560	96
942	1562	94
943	1563	92
944	1565	91
945	1566	89
946	1568	87
947	1569	86
948	1571	84
949	1572	82
950	1574	81
951	1576	79
952	1577	77
953	1579	76
954	1580	74
955	1582	72
956	1583	71
957	1585	69
958	1586	67
959	1588	66
960	1589	64
961	1591	62
962	1592	61
963	1594	59
964	1595	57
965	1597	56
966	1598	54
967	1600	52
968	1601	51
969	1602	49
970	1604	47
971	1605	46
972	1607	44
973	1608	42
974	1610	41
975	1611	39
976	1613	37
977	1614	36
978	1616	34
979	1617	33
980	1619	31
981	1620	29
982	1622	28
983	1623	26
984	1625	24
985	1626	23
986	1628	21
987	1630	19
988	1631	18
989	1633	16
990	1634	14
991	1636	13
992	1637	11
993	1639	9
994	1640	8
995	1641	6
996	1643	4
997	1644	3
998	1646	1
999	1647	0
